@odata.context,value
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4909442, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'SOM', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'EMR', 'ParentLocation': 'Eastern Mediterranean', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_500_POPULAR_BEER', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': None, 'NumericValue': None, 'Low': None, 'High': None, 'Comments': 'missing data', 'Date': '2014-01-10T13:28:58+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4890030, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'GHA', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'AFR', 'ParentLocation': 'Africa', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': '2.32', 'NumericValue': None, 'Low': None, 'High': None, 'Comments': None, 'Date': '2014-01-03T08:39:20+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4890050, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'GRC', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'EUR', 'ParentLocation': 'Europe', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': '22.25', 'NumericValue': None, 'Low': None, 'High': None, 'Comments': None, 'Date': '2014-01-03T08:38:38+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4880303, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'AUT', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'EUR', 'ParentLocation': 'Europe', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_500_POPULAR_BEER', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': None, 'NumericValue': None, 'Low': None, 'High': None, 'Comments': 'missing data', 'Date': '2014-01-10T13:28:29+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4898785, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'LAO', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'WPR', 'ParentLocation': 'Western Pacific', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_500_POPULAR_BEER', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': '0.67', 'NumericValue': None, 'Low': None, 'High': None, 'Comments': None, 'Date': '2014-01-03T08:38:46+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4889501, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'FRA', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'EUR', 'ParentLocation': 'Europe', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_750_TABLE_WINE', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': None, 'NumericValue': None, 'Low': None, 'High': None, 'Comments': 'missing data', 'Date': '2014-01-10T13:28:49+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4909552, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'VEN', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'AMR', 'ParentLocation': 'Americas', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': '11.42', 'NumericValue': None, 'Low': None, 'High': None, 'Comments': None, 'Date': '2014-01-03T08:39:11+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4880269, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'AFG', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'EMR', 'ParentLocation': 'Eastern Mediterranean', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': None, 'NumericValue': None, 'Low': None, 'High': None, 'Comments': 'missing data', 'Date': '2014-01-10T13:28:29+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4898897, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'NAM', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'AFR', 'ParentLocation': 'Africa', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_500_POPULAR_BEER', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': '1.06', 'NumericValue': None, 'Low': None, 'High': None, 'Comments': None, 'Date': '2014-01-03T08:38:52+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
https://ghoapi.azureedge.net/api/$metadata#SA_0000001523,"{'Id': 4880281, 'IndicatorCode': 'SA_0000001523', 'SpatialDimType': 'COUNTRY', 'SpatialDim': 'AND', 'TimeDimType': 'YEAR', 'ParentLocationCode': 'EUR', 'ParentLocation': 'Europe', 'Dim1Type': 'BEVERAGETYPE', 'TimeDim': 2012, 'Dim1': 'BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS', 'Dim2Type': None, 'Dim2': None, 'Dim3Type': None, 'Dim3': None, 'DataSourceDimType': None, 'DataSourceDim': None, 'Value': None, 'NumericValue': None, 'Low': None, 'High': None, 'Comments': 'missing data', 'Date': '2014-01-10T13:28:44+01:00', 'TimeDimensionValue': '2012', 'TimeDimensionBegin': '2012-01-01T00:00:00+01:00', 'TimeDimensionEnd': '2012-12-31T00:00:00+01:00'}"
